address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,furnishing_sell,price,price_m2,property_legal_document,property_status,region,rooms,size,toilets,unitnumber,ward
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,Clever,,15,Hoàn thiện cơ bản,2200000000,"30,14 triệu/m²",Đã có sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,,Phường Hố Nai
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,A,,12,Hoàn thiện cơ bản,2380000000,"30,91 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,2 phòng,77 m²,2 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Passion,,12,Nội thất cao cấp,2200000000,"31,43 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,,Đông Nam,,Nội thất cao cấp,1600000000,"21,92 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,,Phường Hố Nai
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Nội thất cao cấp,2490000000,"32,34 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,77 m²,2 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Nội thất cao cấp,1650000000,"22,3 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,675000000,9 triệu/m²,Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,75 m²,2 phòng,,Phường Hố Nai
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1800000000,"33,96 triệu/m²",,Đã bàn giao,Đồng Nai,2 phòng,53 m²,1 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,Đông,,,2000000000,"30,77 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,65 m²,2 phòng,,Phường Hố Nai
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,B,,12,Hoàn thiện cơ bản,2300000000,"29,49 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,78 m²,2 phòng,,Phường Thống Nhất
"Đường Đồng Khởi, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,,Đông Nam,3,Nội thất đầy đủ,1600000000,"25,4 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,2 phòng,63 m²,2 phòng,,Phường Tam Hòa
"Mặt tiền Xa Lộ Hà Nội, Phường Hố Nai, TP Biên Hòa, Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Moden,Tây Bắc,9,Hoàn thiện cơ bản,2292000000,"30,97 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,M01,Phường Hố Nai
"407, Đường Quốc lộ 1K, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,,Đông Bắc,,Nội thất đầy đủ,870000000,"11,45 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,76 m²,1 phòng,,Phường Hoá An
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,,,14,,1850000000,"34,26 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,54 m²,1 phòng,,Phường Thống Nhất
"Đường Nguyễn Ái Quốc, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1300000000,"12,04 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,3 phòng,108 m²,2 phòng,,Phường Hoá An
"XA LỘ HÀ NỘI, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1680000000,"23,33 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,72 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Block M,Tây Bắc,9,Hoàn thiện cơ bản,2279000000,"31,22 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,M,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Mặt tiền,Bắc,,Nội thất đầy đủ,2500000000,"35,71 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,D,Đông Nam,21,Nội thất đầy đủ,2648000000,"36,27 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,73.8 m²,2 phòng,D.21.09,Phường Hố Nai
"N8, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1180000000,"22,26 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,53 m²,1 phòng,,Phường Bửu Long
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Tây,,Nam,,Nội thất cao cấp,1949000000,"31,44 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,1 phòng,62 m²,1 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1600000000,"22,86 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1500000000,"21,74 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,Tây Nam,7,Đông Bắc,29,,1700000000,"24,29 triệu/m²",Đã có sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,2200000000,"29,73 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,,F,,9,Nội thất cao cấp,2300000000,"31,08 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,A1,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",Căn góc,Chung cư,Thành phố Biên Hòa,Đông Bắc,,Tây Bắc,,Nội thất cao cấp,2500000000,"33,33 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,75 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây,Passion,Đông Bắc,1,Hoàn thiện cơ bản,2411220000,"34,45 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,70.76 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1900000000,"23,46 triệu/m²",,Chưa bàn giao,Đồng Nai,3 phòng,81 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1700000000,"23,29 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1680000000,"23,01 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1650000000,"23,91 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"Đường Quốc Lộ 1, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,,Tây Bắc,,,1700000000,"23,29 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,1625000000,"23,21 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1900000000,"27,94 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,68 m²,,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",Căn góc,Chung cư,Thành phố Biên Hòa,,,Đông Nam,,Nội thất cao cấp,2500000000,"35,71 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Bắc,Passion,,21,Nội thất cao cấp,1768000000,"25,62 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,P.06,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,1625000000,"23,21 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"mặt tiền đường Xa lộ Hà Nội ( QL 1A), Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Passion,Tây Bắc,9,Hoàn thiện cơ bản,2257000000,"30,92 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,73 m²,2 phòng,P09,Phường Hố Nai
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây Bắc,B,Tây Bắc,3,Nội thất đầy đủ,2180000000,"35,16 triệu/m²",Đang chờ sổ,Đã bàn giao,Đồng Nai,1 phòng,62 m²,1 phòng,0312,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,Tây Bắc,,Đông Nam,,Nội thất cao cấp,2195290420,"33,77 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,65.41 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,2100000000,30 triệu/m²,Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368, Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông Nam,Block Model,Tây Bắc,17,Hoàn thiện cơ bản,3150000000,"30,58 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,3 phòng,103 m²,2 phòng,M07x,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,Passion,Tây Bắc,18,Hoàn thiện cơ bản,1700000000,"23,94 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,71.5 m²,2 phòng,P18,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",Căn góc,Chung cư,Thành phố Biên Hòa,Đông Bắc,D,,,Nội thất cao cấp,1500000000,20 triệu/m²,Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,75 m²,2 phòng,05,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,,D,,2,Hoàn thiện cơ bản,2100000000,"20,59 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,3 phòng,102 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Nam,Block M,Đông Bắc,15,Hoàn thiện cơ bản,2290000000,"33,68 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,68 m²,2 phòng,M1--,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Passion,,6,Nội thất cao cấp,1600000000,"23,19 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,P.06.05,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai.",,Chung cư,Thành phố Biên Hòa,,,,,Nội thất cao cấp,1500000000,"21,43 triệu/m²",Đã có sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"Đường Trần Quốc Toản, Phường An Bình, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông,D2,Tây,4,Nội thất đầy đủ,750000000,"16,67 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,1 phòng,45 m²,1 phòng,,Phường An Bình
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1500000000,"21,43 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,70 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông,,Tây,,,2105600000,"30,52 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,69.09 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,P,Đông,10,Nội thất đầy đủ,1600000000,"24,62 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,65 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Đông Nam,,Đông Bắc,,,2350000000,"32,64 triệu/m²",,Chưa bàn giao,Đồng Nai,2 phòng,72 m²,2 phòng,,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Đông,Lucky,Tây,18,,31000000,436.619 đ/m²,Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,71 m²,2 phòng,L02,Phường Hố Nai
"Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,Passion,,,Nội thất cao cấp,2500000000,"36,23 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,69 m²,2 phòng,,Phường Hố Nai
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Tây,4,Đông Nam,16,Hoàn thiện cơ bản,2200000000,"32,84 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,67 m²,2 phòng,,Phường Hố Nai
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1568000000,"30,15 triệu/m²",Giấy tờ khác,Đã bàn giao,Đồng Nai,2 phòng,52 m²,1 phòng,,Phường Thống Nhất
"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,,1650000000,"22,3 triệu/m²",Giấy tờ khác,Đã bàn giao,Đồng Nai,2 phòng,74 m²,2 phòng,,Phường Thống Nhất
"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,,,,,Hoàn thiện cơ bản,360000000,"5,37 triệu/m²",Giấy tờ khác,Chưa bàn giao,Đồng Nai,2 phòng,67 m²,2 phòng,,Phường Hố Nai
"Đường N2, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",Căn góc,Chung cư,Thành phố Biên Hòa,Nam,1,,1,Nội thất đầy đủ,1390000000,"27,8 triệu/m²",Đã có sổ,Đã bàn giao,Đồng Nai,2 phòng,50 m²,1 phòng,,Phường Bửu Long
"Mặt tiền xa lộ Hà Nội, TP Biên Hòa, Đồng Nai, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",,Chung cư,Thành phố Biên Hòa,Nam,CLEAVER,Bắc,15,Nội thất cao cấp,2290000000,"29,36 triệu/m²",Đang chờ sổ,Chưa bàn giao,Đồng Nai,2 phòng,78 m²,2 phòng,c01,Phường Hố Nai
